id,token_name,token_address,network,price_at_alert,score,base_score,momentum_bonus,confidence_score,volume_24h,volume_6h,volume_1h,liquidity,buys_24h,sells_24h,buy_ratio,total_txns,age_hours,created_at
47,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.3960369680482,100,100,8,85,1647657.58024239,70637.6161277082,21481.31517002,1101822.803,2070,1889,0.0,3959,43.21392914333333,2025-12-17 05:13:38

48,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.5146120548181,100,100,8,85,1648559.99281715,71078.4380606515,21630.5008737971,1103181.9928,2068,1886,0.0,3954,43.30360347916666,2025-12-17 05:19:01

49,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.6779507392239,100,100,5,85,1654333.70920796,77098.2850072796,25435.289961564,1109310.6162,2069,1892,0.0,3961,43.39315675388889,2025-12-17 05:24:23

50,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.7302183114907,100,100,0,85,1653216.55371705,77054.1379118184,25219.7060893546,1109469.7345,2068,1890,0.0,3958,43.482758436111105,2025-12-17 05:29:46

51,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.9655819436108,100,100,8,85,1647861.18377674,77833.0869047818,25525.4820155298,1108833.1275,2059,1888,0.0,3947,43.57252289805556,2025-12-17 05:35:09

52,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.8906278549078,100,100,15,85,1647476.10570207,79768.2599336554,19574.537709303,1116158.5724,2060,1890,0.0,3950,43.66227660194444,2025-12-17 05:40:32

53,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.0344945256182,100,100,15,85,1648447.53718713,82270.2138316696,20802.1929101353,1113134.5846,2064,1890,0.0,3954,43.75186255861111,2025-12-17 05:45:55

54,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.9137916288424,100,100,15,85,1647909.66702187,82831.1143857178,21172.9934061442,1115290.2095,2059,1888,0.0,3947,43.841655816666666,2025-12-17 05:51:18

55,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.9366129497578,100,100,15,85,1648449.20063796,83790.0142292193,20535.7053202531,1113685.7316,2063,1887,0.0,3950,43.931397930833334,2025-12-17 05:56:41

56,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.101796625454,100,100,15,85,1649255.07243156,84467.4956576147,16332.9510321174,1116843.224,2064,1887,0.0,3951,44.021067020277776,2025-12-17 06:02:04

57,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.0410700175492,100,100,15,85,1649301.78560179,84514.2088278427,16379.6642023454,1113824.732,2065,1888,0.0,3953,44.110764735,2025-12-17 06:07:27

58,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.0687737882945,100,100,15,85,1650677.56159446,85309.2791528922,17921.4949281188,1115890.5885,2069,1889,0.0,3958,44.20049268694444,2025-12-17 06:12:50

59,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.0129618837356,100,100,10,85,1650330.20578959,85383.7269639826,16829.3403463375,1116395.2164,2065,1891,0.0,3956,44.29016575777778,2025-12-17 06:18:12

60,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.1094691614147,100,100,10,85,1651446.32446827,86239.2352227001,12350.8157502859,1114850.2136,2064,1889,0.0,3953,44.379693768888885,2025-12-17 06:23:35

61,THQ / WETH 0.3%,0x01f706e88740a7d29673620787c2d50ea66bc04d,base,0.0770202402759927,90,60,30,85,166982.429945478,166982.429945478,166982.429945478,243127.1934,704,396,0.0,1100,0.16044876305555555,2025-12-17 06:23:38

62,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.0217950723525,100,100,15,85,1649603.90055638,93720.3702386129,19821.9273296892,1115111.3678,2065,1885,0.0,3950,44.470289386666664,2025-12-17 06:29:01

